Cloud,Density (avg degree),Method,Final Set Size,Runtime (s),Raw Set Size,Raw Valid,Repair Added,Repair Pruned,Final Valid
1,Low (15),Grid,56,0.9310780000000705,208,No,3,155,Yes
1,Low (15),Zoomed Square,61,0.8012233000004017,61,Yes,0,0,Yes
1,Low (15),Circle,56,0.8886699000001954,56,Yes,0,0,Yes
1,Medium (107),Grid,55,1.0795552000001862,55,Yes,0,0,Yes
1,Medium (107),Zoomed Square,55,0.8384315000002971,55,Yes,0,0,Yes
1,Medium (107),Circle,56,0.7506596000000627,56,Yes,0,0,Yes
1,High (240),Grid,78,1.7970628999999008,78,Yes,0,0,Yes
1,High (240),Zoomed Square,73,2.5962542999998277,73,Yes,0,0,Yes
1,High (240),Circle,82,1.7208196999999927,82,Yes,0,0,Yes
2,Medium (107),Grid,65,0.9969235999999455,65,Yes,0,0,Yes
2,Medium (107),Zoomed Square,63,0.9629933000003348,63,Yes,0,0,Yes
2,Medium (107),Circle,66,0.9304626999996799,66,Yes,0,0,Yes
2,High (240),Grid,94,1.8377066999998988,94,Yes,0,0,Yes
2,High (240),Zoomed Square,87,2.785576200000378,87,Yes,0,0,Yes
2,High (240),Circle,95,1.6683634000000893,95,Yes,0,0,Yes
2,Low (15),Grid,74,0.9269684999999299,214,No,2,142,Yes
2,Low (15),Zoomed Square,73,0.863321299999825,73,Yes,0,0,Yes
2,Low (15),Circle,72,0.9155139999998028,72,Yes,0,0,Yes
3,High (240),Grid,80,1.8184933,80,Yes,0,0,Yes
3,High (240),Zoomed Square,85,2.19935479999981,85,Yes,0,0,Yes
3,High (240),Circle,82,1.4345886999999493,82,Yes,0,0,Yes
3,Low (15),Grid,63,0.7959315000000515,211,No,2,150,Yes
3,Low (15),Zoomed Square,67,0.8259170000001177,67,Yes,0,0,Yes
3,Low (15),Circle,65,0.9639856999999665,65,Yes,0,0,Yes
3,Medium (107),Grid,58,0.9102234999998018,58,Yes,0,0,Yes
3,Medium (107),Zoomed Square,57,0.8284969999997429,57,Yes,0,0,Yes
3,Medium (107),Circle,57,0.6908183000002737,57,Yes,0,0,Yes
4,Low (15),Grid,56,0.7205571000001783,208,No,1,153,Yes
4,Low (15),Zoomed Square,58,0.8849329000001944,58,Yes,0,0,Yes
4,Low (15),Circle,61,0.9667675000002873,61,Yes,0,0,Yes
4,Medium (107),Grid,59,0.9470376000001579,59,Yes,0,0,Yes
4,Medium (107),Zoomed Square,62,0.913542500000176,62,Yes,0,0,Yes
4,Medium (107),Circle,60,0.7765957999997681,60,Yes,0,0,Yes
4,High (240),Grid,84,1.8850124000000505,84,Yes,0,0,Yes
4,High (240),Zoomed Square,91,2.2678659000000607,91,Yes,0,0,Yes
4,High (240),Circle,92,1.138991100000112,92,Yes,0,0,Yes
5,Medium (107),Grid,57,1.1789432000000488,121,No,2,66,Yes
5,Medium (107),Zoomed Square,61,0.8607971000003545,61,Yes,0,0,Yes
5,Medium (107),Circle,62,0.920686399999795,62,Yes,0,0,Yes
5,High (240),Grid,83,1.654077500000085,83,Yes,0,0,Yes
5,High (240),Zoomed Square,86,2.5050304999999753,86,Yes,0,0,Yes
5,High (240),Circle,92,1.1312089999998989,92,Yes,0,0,Yes
5,Low (15),Grid,52,0.8168735000001561,211,No,1,160,Yes
5,Low (15),Zoomed Square,50,0.6575487000000066,50,Yes,0,0,Yes
5,Low (15),Circle,56,0.7164374999999836,56,Yes,0,0,Yes
6,High (240),Grid,81,1.8118724000000839,81,Yes,0,0,Yes
6,High (240),Zoomed Square,77,2.83106510000016,77,Yes,0,0,Yes
6,High (240),Circle,83,2.268268799999987,83,Yes,0,0,Yes
6,Low (15),Grid,61,0.5855764000000363,61,Yes,0,0,Yes
6,Low (15),Zoomed Square,60,0.7459556999999677,60,Yes,0,0,Yes
6,Low (15),Circle,62,0.7486709999998311,62,Yes,0,0,Yes
6,Medium (107),Grid,65,0.9497118000001592,65,Yes,0,0,Yes
6,Medium (107),Zoomed Square,59,0.9007140000001073,59,Yes,0,0,Yes
6,Medium (107),Circle,58,0.7182706999997208,58,Yes,0,0,Yes
