Nodes: 10, Radius: 0.4000000000000001, Seed: 983282, Edges: 15

(0, 1, 2, 6)
(0, 1, 2, 8)
(0, 1, 6, 9)
(0, 1, 8, 9)
(0, 2, 3, 6)
(0, 2, 3, 8)
(0, 2, 4, 5)
(0, 2, 4, 6)
(0, 2, 4, 8)
(0, 2, 5, 8)
(0, 2, 6, 7)
(0, 2, 6, 8)
(0, 2, 7, 8)
(0, 3, 6, 9)
(0, 3, 8, 9)
(0, 4, 5, 9)
(0, 4, 6, 9)
(0, 4, 8, 9)
(0, 5, 8, 9)
(0, 6, 7, 9)
(0, 6, 8, 9)
(0, 7, 8, 9)
(1, 2, 3, 6)
(1, 2, 3, 8)
(1, 2, 4, 5)
(1, 2, 4, 6)
(1, 2, 4, 8)
(1, 2, 5, 8)
(1, 2, 6, 7)
(1, 2, 6, 8)
(1, 2, 7, 8)
(1, 3, 6, 9)
(1, 3, 8, 9)
(1, 4, 5, 9)
(1, 4, 6, 9)
(1, 4, 8, 9)
(1, 5, 8, 9)
(1, 6, 7, 9)
(1, 6, 8, 9)
(1, 7, 8, 9)
