Nodes: 34, Radius: 0.2, Seed: 437162, Edges: 56

(1, 8, 16, 31)
(1, 8, 27, 31)
(1, 9, 16, 31)
(1, 9, 27, 31)
(1, 16, 21, 31)
(1, 16, 26, 31)
(1, 21, 27, 31)
(1, 26, 27, 31)
(2, 8, 16, 31)
(2, 8, 27, 31)
(2, 9, 16, 31)
(2, 9, 27, 31)
(2, 16, 21, 31)
(2, 16, 26, 31)
(2, 21, 27, 31)
(2, 26, 27, 31)
(3, 8, 16, 31)
(3, 8, 27, 31)
(3, 9, 16, 31)
(3, 9, 27, 31)
(3, 16, 21, 31)
(3, 16, 26, 31)
(3, 21, 27, 31)
(3, 26, 27, 31)
(4, 8, 16, 31)
(4, 8, 27, 31)
(4, 9, 16, 31)
(4, 9, 27, 31)
(4, 16, 21, 31)
(4, 16, 26, 31)
(4, 21, 27, 31)
(4, 26, 27, 31)
(8, 13, 16, 31)
(8, 13, 27, 31)
(8, 16, 23, 31)
(8, 16, 24, 31)
(8, 16, 28, 31)
(8, 23, 27, 31)
(8, 24, 27, 31)
(8, 27, 28, 31)
(9, 13, 16, 31)
(9, 13, 27, 31)
(9, 16, 23, 31)
(9, 16, 24, 31)
(9, 16, 28, 31)
(9, 23, 27, 31)
(9, 24, 27, 31)
(9, 27, 28, 31)
(13, 16, 21, 31)
(13, 16, 26, 31)
(13, 21, 27, 31)
(13, 26, 27, 31)
(16, 21, 23, 31)
(16, 21, 24, 31)
(16, 21, 28, 31)
(16, 23, 26, 31)
(16, 24, 26, 31)
(16, 26, 28, 31)
(21, 23, 27, 31)
(21, 24, 27, 31)
(21, 27, 28, 31)
(23, 26, 27, 31)
(24, 26, 27, 31)
(26, 27, 28, 31)
